date,open,high,low,close,volume,dividends,stock splits
2022-01-01,175.82110525794118,180.87337959820871,152.952393672473,172.80555725097656,2108446000,0.0,0.0
2022-02-01,172.04425620223898,174.6544323168563,150.28290194970958,163.2546844482422,1627516300,0.22,0.0
2022-03-01,163.0469147358261,177.80726774646257,148.59346296586614,172.85745239257812,2180800100,0.0,0.0
2022-04-01,172.28327273158817,176.69851469251213,153.8204674253302,156.0676727294922,1687795600,0.0,0.0
2022-05-01,155.1370873624408,164.80901368627508,131.27897625187816,147.3460693359375,2401040300,0.23,0.0
2022-06-01,148.61347558887965,150.43769526626835,127.93250615781149,135.54660034179688,1749099800,0.0,0.0
2022-07-01,134.872427661994,162.22564750110487,134.49569930557155,161.11524963378906,1447125400,0.0,0.0
2022-08-01,159.628132315941,174.6381932331933,155.79135128554213,155.87066650390625,1510239600,0.23,0.0
2022-09-01,155.51136020755388,163.0764509255449,137.00566772385125,137.2042236328125,2084722800,0.0,0.0
2022-10-01,137.2141642049797,156.36516758895405,133.4018209868315,152.23513793945312,1868139700,0.0,0.0
2022-11-01,153.96259963625548,154.32992881746716,133.41175294432745,146.96339416503906,1724847700,0.23,0.0
2022-12-01,147.38618380886817,150.08111182064346,125.17035638926747,129.20777893066406,1675731200,0.0,0.0

