Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-01,0.7937537291562565,0.9195807302274808,0.6546808232757921,0.7852387428283691,12555177600,0.0,0.0
2000-02-01,0.7871307515168616,0.907755577525034,0.7341507718250191,0.8675475716590881,7319782400,0.0,0.0
2000-03-01,0.8973489921314173,1.138124008212435,0.8628170225505561,1.0279070138931274,8698356800,0.0,0.0
2000-04-01,1.0255408514393982,1.0558157230684926,0.7937538517797563,0.938975751399994,8662404800,0.0,0.0
2000-05-01,0.9451245814466348,0.9555315501012842,0.6187307003493459,0.635759711265564,9807750400,0.0,0.0
2000-06-01,0.6187308658829852,0.8722778531541501,0.6083238944440817,0.7928078174591064,8105204800,0.0,2.0
2000-07-01,0.789023750122069,0.9176888404698692,0.7095537699275288,0.7691558003425598,5746770400,0.0,0.0
2000-08-01,0.761587539862943,0.9309336238184188,0.6698186263218214,0.922419548034668,5636086400,0.0,0.0
2000-09-01,0.9280957696561678,0.9706687837568042,0.3841048870564271,0.3897809386253357,14516930400,0.0,0.0
2000-10-01,0.4039727482358406,0.4049187651053638,0.2648998811592645,0.2961199283599853,21905788800,0.0,0.0
2000-11-01,0.2942279814447947,0.3481539904592188,0.2440860157622767,0.2497629523277282,8488373600,0.0,0.0
2000-12-01,0.2573309619141957,0.2648999059901518,0.2062438609371581,0.225164920091629,8858970400,0.0,0.0
2001-01-01,0.2251649210378646,0.3405858366485034,0.2185428528282846,0.3273408412933349,13709460800,0.0,0.0
2001-02-01,0.3131499661437252,0.3320710462970415,0.2724689705595464,0.2762530148029327,7023766400,0.0,0.0
2001-03-01,0.2696299244847517,0.3595068270288071,0.260169806868087,0.334076464176178,10799062400,0.0,0.0
2001-04-01,0.3343791011885011,0.4105194048454368,0.2838209423861552,0.3858459889888763,11158991200,0.0,0.0
2001-05-01,0.3846346844754387,0.4041618118506886,0.292146878560963,0.301985889673233,7468434400,0.0,0.0
2001-06-01,0.3047103972160804,0.3799419919743266,0.2929039148893142,0.3519389033317566,7638265600,0.0,0.0
2001-07-01,0.357842159797978,0.3817585825825208,0.270197973158989,0.284427136182785,8655102400,0.0,0.0
2001-08-01,0.2877568351636286,0.3012289978139496,0.2615694600758045,0.2807939946651459,5129359200,0.0,0.0
2001-09-01,0.2800369779862646,0.288816417654703,0.2222133415548973,0.2347768247127533,5531523200,0.0,0.0
2001-10-01,0.2344741719662369,0.2939634803827066,0.224483406119824,0.2658078074455261,7544247200,0.0,0.0
2001-11-01,0.2671708482219805,0.3262049677054344,0.2611158795324854,0.3224209249019623,5369744800,0.0,0.0
2001-12-01,0.3187876747544184,0.3637452072900117,0.3041050012233979,0.3315028548240661,4629839200,0.0,0.0
2002-01-01,0.3337739690519218,0.3743413743977917,0.3065269716231164,0.374190479516983,8515376800,0.0,0.0
2002-02-01,0.3684380693540663,0.3932632160626724,0.3169720356417062,0.3284758925437927,7837424000,0.0,0.0
2002-03-01,0.3319573851892035,0.3829699371816206,0.330292564644235,0.3582965135574341,5318583200,0.0,0.0
2002-04-01,0.353906317234667,0.3961385899756968,0.3481539714396082,0.3673785030841827,6422836000,0.0,0.0
2002-05-01,0.3676811247485248,0.3932632488851917,0.3351361612129689,0.3526949882507324,5976157600,0.0,0.0
2002-06-01,0.3540580688337157,0.3549659137928893,0.241891368581014,0.2682304680347442,8708016800,0.0,0.0
2002-07-01,0.2680786780773878,0.2844270329771957,0.2088928389618305,0.230992704629898,8118415200,0.0,0.0
2002-08-01,0.228721782505605,0.2459788685195003,0.2114655806905709,0.2232729196548462,5151686400,0.0,0.0
2002-09-01,0.2193370756197967,0.229933085110502,0.2126768617727013,0.2194888293743133,5291837600,0.0,0.0
2002-10-01,0.2208510947289796,0.2488542058476141,0.20223182280898,0.2432535886764526,6611432800,0.0,0.0
2002-11-01,0.2412860757600212,0.2630833189277438,0.2272086711267258,0.2346258610486984,4531721600,0.0,0.0
2002-12-01,0.2406808742416681,0.2437079419793727,0.2085894164919608,0.2169153243303299,4530439200,0.0,0.0
2003-01-01,0.2173696011304855,0.2328092504972762,0.2052596670195621,0.2173696011304855,6045832800,0.0,0.0
2003-02-01,0.2181257940289784,0.2315979782770284,0.2088928632887945,0.2272086888551712,4114303200,0.0,0.0
2003-03-01,0.2272087089390944,0.229478801275696,0.2125251962269237,0.214039146900177,4028404800,0.0,0.0
2003-04-01,0.2149470498775609,0.2263000143116235,0.1925445654975678,0.2152505069971084,7775342400,0.0,0.0
2003-05-01,0.2157039489203391,0.2877567242630493,0.2119199066738828,0.2717118263244629,10811544800,0.0,0.0
2003-06-01,0.2739819943571762,0.2980501689965736,0.2517303939294708,0.2885137796401977,6113335200,0.0,0.0
2003-07-01,0.285637619594054,0.3265085075571041,0.2801887303846549,0.3190912902355194,5218270400,0.0,0.0
2003-08-01,0.3178799650299735,0.3458839129838006,0.2939635176850584,0.3422507643699646,4307564800,0.0,0.0
2003-09-01,0.3430077490131639,0.352998516395586,0.3050130329250542,0.3136415779590606,5347484800,0.0,0.0
2003-10-01,0.3134898422409611,0.3785797762711891,0.3056191317772255,0.3464891612529754,7040191200,0.0,0.0
2003-11-01,0.3455811894934617,0.3526949224320522,0.3004719188138032,0.3165176510810852,4974104800,0.0,0.0
2003-12-01,0.3184851174260595,0.3315029234781614,0.2913898815004538,0.323480486869812,5453873600,0.0,0.0
